Numer                                       wpisu;Imiê i nazwisko lub nazwa inwestora;Data wpisu;Adres;Rodzaj;opis;typ;Data wniosku;Nr               wniosku;Nr               decyzji;Data decyzji;Rok wniosku;Miesi¹c wniosku;data;Czas rozpatrzenia
6;;;¯ernicka 205 ;bud.mieszkalne jednorodzinne;bud budynku mieszkalnego jednorodzinnego;nowe;2008-11-07;42298/08;09-sty;2009-01-05;2008;11;2008-11-01;42
9;;;Krzywickiego Ludwika 4-6 ;bud.o trzech i wiêcej mieszkaniach;zespo³u budynkow wielorodzinnych w zabud bli¿niacz;nowe;2008-08-12;31316/08;09-mar;2009-01-05;2008;8;2008-08-01;105
12;;;Strachowice;bud.mieszkalne jednorodzinne;bud domu jednorodzinnego wolno stoj¹cego;nowe;2008-11-28;44710/08;09-sie;2009-01-05;2008;11;2008-11-01;27
29;;;Maleczyñskich Ewy I Karola 95 ;bud.o dwóch mieszkaniach;budowa budynku mieszkal.                             jednorodz.z dwoma lokalalmi;nowe;2008-11-03;41569/08;19-wrz;2009-01-07;2008;11;2008-11-01;48
34;;;Paw³owice;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodz w zabud wolnostoj¹cej z gara¿em wbudow;nowe;2008-11-06;42193/08;24-wrz;2009-01-07;2008;11;2008-11-01;45
57;;;RzeŸbiarska ;bud.mieszkalne jednorodzinne;osiedle domów jednorodz w zabud szeregowej wraz z zagospodarow;nowe;2008-11-05;42023/08;wrz-43;2009-01-12;2008;11;2008-11-01;49
78;;;Bia³oszewskiego Mirona ;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodzinny wolno stoj¹cy;nowe;2008-11-21;43636/08;wrz-62;2009-01-13;2008;11;2008-11-01;38
121;;;Stab³owicka 166 ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodz w zabud wolno stoj¹cej;nowe;2008-11-20;43612/08;102/09;2009-01-16;2008;11;2008-11-01;42
133;;;Osiniecka 55A ;bud.mieszkalne jednorodzinne;budowa domu jednordz.niepodpiwniczonego;nowe;2008-12-05;45563/08;112/09;2009-01-19;2008;12;2008-12-01;32
145;;;Prochowicka 16 ;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2008-12-30;47907/08;121/09;2009-01-20;2008;12;2008-12-01;16
146;;;Buforowa ;bud.mieszkalne jednorodzinne;budowa zespo ³u budynków jednorodz.wolnostoj.z wbud.gara¿.;nowe;2008-10-13;38979/08;122/09;2009-01-20;2008;10;2008-10-01;72
149;;;Gorlicka 55 ;bud.mieszkalne jednorodzinne;dom jednorodzinny z gara¿em;nowe;2008-11-18;43279/08;125/09;2009-01-20;2008;11;2008-11-01;46
153;;;Rêdziñska 30-38 ;bud.o trzech i wiêcej mieszkaniach;osiedle budynków wielorodzinnych;nowe;2008-05-27;20625/08;15-wrz;2009-01-21;2008;5;2008-05-01;172
157;;;Wolfkego Mieczys³awa 7 ;bud.mieszkalne jednorodzinne;bud domu jednorodz wolnostoj¹cego;nowe;2008-12-23;47533/08;129/09;2009-01-21;2008;12;2008-12-01;22
169;;;Jagodno;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.                       jednorodz.wolnostoj.z niezb.infra.;nowe;2008-12-23;47620/08;140/09;2009-01-22;2008;12;2008-12-01;23
170;;;Watowa ;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodz wolnostoj¹cy;nowe;2008-11-21;43767/08;141/09;2009-01-22;2008;11;2008-11-01;45
176;;;Rybnicka 18 ;bud.mieszkalne jednorodzinne;budowa zespo³u budynków mieszkal.wielorodz.z garazami;nowe;2008-11-14;42983/08;146/09;2009-01-23;2008;11;2008-11-01;51
180;;;Zatorska ;bud.o trzech i wiêcej mieszkaniach;budowa zespo³u budynków wielorodz.z us³ugami;nowe;2008-11-19;43484/08;150/09;2009-01-23;2008;11;2008-11-01;48
183;;;Jagodno;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2008-12-23;47621/08;153/09;2009-01-26;2008;12;2008-12-01;25
184;;;Lubelska 69 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego w zab. bliŸniaczej;nowe;2008-12-09;45796/08;154/09;2009-01-26;2008;12;2008-12-01;35
199;;;Zagrodnicza 31 ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-16;46789/08;167/09;2009-01-27;2008;12;2008-12-01;31
212;;;Redycka ;bud.mieszkalne jednorodzinne;budowa budynku mieszkalnego jednorodzinnego;nowe;2008-11-28;44619/08;176/09;2009-01-29;2008;11;2008-11-01;45
223;;;Partynicka 26B ;bud.o trzech i wiêcej mieszkaniach;budynek mieszkalny wielorodzinny z gara¿em podziemnym;nowe;2008-11-27;44546/08;184/09;2009-01-30;2008;11;2008-11-01;47
224;;;Odcinek 14A ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-29;47774/08;185/09;2009-01-30;2008;12;2008-12-01;25
228;;;Sobieszowska 15 ;bud.mieszkalne jednorodzinne;dobud drugiego bud mieszk jednorodzinnego;nowe;2008-11-27;44556/08;20-wrz;2009-02-02;2008;11;2008-11-01;48
248;;;Popielskiego Leona 33C ;bud.mieszkalne jednorodzinne;bud piêciu bud mieszk w zabud szeregowej;nowe;2008-12-04;45306/08;24-wrz;2009-02-03;2008;12;2008-12-01;44
250;;;Wilkszyñska ;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2008-12-01;44747/08;26-wrz;2009-02-03;2008;12;2008-12-01;47
256;;;Junacka 46A ;bud.mieszkalne jednorodzinne;budynki mieszkalne w zabudowie blizniaczej i budowa zjazdu z drogi ;nowe;2008-12-15;46546/08;207/09;2009-02-03;2008;12;2008-12-01;37
257;;;Wêdkarzy ;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.z gara¿em;nowe;2008-12-08;45606/08;208/09;2009-02-03;2008;12;2008-12-01;42
261;;;Kie³czowska 14-18 ;bud.o trzech i wiêcej mieszkaniach;zespó³ bud.mieszkal.wielorodz.z uslugami;nowe;2008-12-01;44811/08;212/09;2009-02-03;2008;12;2008-12-01;47
264;;;Samotna 49 ;bud.mieszkalne jednorodzinne;bud mieszk jednorodz w zabud szeregowej;nowe;2008-11-26;44226/08;215/09;2009-02-03;2008;11;2008-11-01;50
278;;;Jerzmanowo;bud.mieszkalne jednorodzinne;2 budynki  jednorodzinne bli¿niaki;nowe;2008-12-30;48027/08;229/09;2009-02-04;2008;12;2008-12-01;27
286;;;Oporów;bud.o trzech i wiêcej mieszkaniach;osiedle domów wielorodzinnych;nowe;2008-12-23;47689/08;236/09;2009-02-05;2008;12;2008-12-01;33
296;;;Ksiêgowa 19;bud.gara¿y;budowa garazu wolnostoj.;nowe;2009-01-16;1489/09;246/09;2009-02-05;2009;1;2009-01-01;15
299;;;Siewna 3 ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-17;46814/08;249/09;2009-02-05;2008;12;2008-12-01;37
300;;;PrzyjaŸni 8 ;bud.o trzech i wiêcej mieszkaniach;bud budynku mieszk-uslugowego z gara¿em podziemnym;nowe;2008-12-05;45500/08;27-wrz;2009-02-06;2008;12;2008-12-01;46
314;;;Sarnia ;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodz wolnostoj¹cy z wbudowanym gara;nowe;2009-01-16;1575/09;261/09;2009-02-09;2009;1;2009-01-01;17
336;;;Wañkowicza Melchiora ;bud.o trzech i wiêcej mieszkaniach;budynek mieszkalny wielorodzinny;nowe;2008-12-30;48025/08;278/09;2009-02-12;2008;12;2008-12-01;33
344;;;Kmicica Andrzeja 37 ;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-30;48061/08;286/09;2009-02-12;2008;12;2008-12-01;33
347;;;Gagarina Jurija ;bud.o trzech i wiêcej mieszkaniach;zespó³ budynków mieszkalnych wielorodzinnych z parkingiem;nowe;2008-12-23;47597/08;289/09;2009-02-12;2008;12;2008-12-01;38
348;;;Gagarina Jurija ;bud.o trzech i wiêcej mieszkaniach;zespó³ bud mieszk w zabud wielorodzinnej z parkingiem ;nowe;2008-12-23;47596/08;290/09;2009-02-12;2008;12;2008-12-01;38
363;;;Olbrachtowska 39 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.;nowe;2008-12-18;47050/08;wrz-32;2009-02-16;2008;12;2008-12-01;43
368;;;Chlebowa 3 ;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2009-01-15;1288/09;303/09;2009-02-16;2009;1;2009-01-01;23
378;;;Kowalska 70A ;bud.mieszkalne jednorodzinne;budynku b mieszkalnego jednorodz w zabud bli¿niaczej;nowe;2008-12-15;46597/08;313/09;2009-02-16;2008;12;2008-12-01;46
381;;;Kominiarska 18 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.wraz z elementami infrastruk.;nowe;2008-12-19;47311/08;315/09;2009-02-17;2008;12;2008-12-01;43
386;;;Mys³akowicka 18 ;bud.mieszkalne jednorodzinne;bud budynku mieszk w zabud bli¿niaczej;nowe;2008-12-22;47447/08;320/09;2009-02-17;2008;12;2008-12-01;42
407;;;Sulejowska 3 ;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2008-12-17;46975/08;336/09;2009-02-19;2008;12;2008-12-01;47
411;;;Szczycieñska ;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.wraz z gara¿em;nowe;2008-12-18;47029/08;340/09;2009-02-19;2008;12;2008-12-01;46
429;;;Jaworskiego Iwo 10 ;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzinnego;nowe;2008-12-19;47242/08;356/09;2009-02-20;2008;12;2008-12-01;46
437;;;Zatorska 23 ;bud.mieszkalne jednorodzinne;budynek jednorodz wolno stoj¹cy z gara¿em wbudowanym;nowe;2008-12-22;47395/08;361/09;2009-02-23;2008;12;2008-12-01;46
441;;;Widawa;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2008-12-29;47869/08;365/09;2009-02-23;2008;12;2008-12-01;41
450;;;Meliorancka ;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.wraz z gara¿em;nowe;2009-01-20;wrz-42;370/09;2009-02-24;2009;1;2009-01-01;26
461;;;Pucka ;bud.mieszkalne jednorodzinne;bud domów mieszk w zabud szeregowej;nowe;2008-12-30;48057/08;wrz-41;2009-02-26;2008;12;2008-12-01;43
463;;;Wêdkarzy ;bud.mieszkalne jednorodzinne;budynku z przeznaczeniem na mieszkalnictwo dla obs³ugi ;nowe;2008-12-24;47694/08;377/09;2009-02-26;2008;12;2008-12-01;47
467;;;Jaskó³cza 27 ;bud.mieszkalne jednorodzinne;budowa czterech bud.mieszkal.               jednorodz.w zabudowie szeregowej;nowe;2008-12-29;47867/08;381/09;2009-02-26;2008;12;2008-12-01;44
468;;;Gitarowa ;bud.o trzech i wiêcej mieszkaniach;budowa bud.mieszkal.wielordz.z miejscami postoj.1 etap 2 etap ;nowe;2008-12-24;47746/08;382/09;2009-02-26;2008;12;2008-12-01;47
477;;;Krzycka 80-82 ;bud.o trzech i wiêcej mieszkaniach;budowa bud.mieszkal.wielorodz.z wbud.lokalami us³ug.biur.;nowe;2008-12-23;47686/08;389/09;2009-02-27;2008;12;2008-12-01;49
481;;2009-03-02;Popielskiego Leona 19 A;bud.mieszkalne jednorodzinne;bud.mieszkal.jednorodz.;nowe;2008-12-19;47217/08;wrz-45;2009-03-02;2008;12;2008-12-01;52
501;;2009-03-03;Sportowa;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2008-12-29;47851/08;407/09;2009-03-03;2008;12;2008-12-01;47
506;;2009-03-04;PrzyjaŸni 111;bud.o trzech i wiêcej mieszkaniach;bud.mieszkal.;nowe;2008-12-23;47688/08;wrz-46;2009-03-04;2008;12;2008-12-01;52
512;;2009-03-04;Rabczañska 39;bud.mieszkalne jednorodzinne;budowa budynku mieszkal jednorodz.;nowe;2009-02-03;wrz-81;417/09;2009-03-04;2009;2;2009-02-01;22
517;;2009-03-04;Ziemniaczana;bud.zbiorowego zamieszkania;pensjonatu dla osób starszych;nowe;2008-12-30;48060/08;422/09;2009-03-04;2008;12;2008-12-01;47
518;;2009-03-05;Zyndrama Z Maszkowic 20;bud.o trzech i wiêcej mieszkaniach;budynek mieszkal.;nowe;2008-07-24;28903/08;wrz-47;2009-03-05;2008;7;2008-07-01;161
519;;2009-03-05;Igielna;bud.o trzech i wiêcej mieszkaniach;budynek apartamentowo-us³ugowy;nowe;2008-12-24;47764/08;wrz-48;2009-03-05;2008;12;2008-12-01;52
522;;2009-03-05;Starobielawska;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2008-12-31;48099/08;425/09;2009-03-05;2008;12;2008-12-01;47
526;;2009-03-05;Rymarska 44;bud.o trzech i wiêcej mieszkaniach;przy³acza do budynku wielorodzinnego;nowe;2008-12-08;45723/08;429/09;2009-03-05;2008;12;2008-12-01;64
528;;2009-03-05;Lekcyjna 69A;bud.o trzech i wiêcej mieszkaniach;budynek mieszkalny wielorodzinny;nowe;2008-12-31;48072/08;431/09;2009-03-05;2008;12;2008-12-01;47
557;;2009-03-11;Szpacza 54;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny z gara¿em;nowe;2009-01-19;1753/09;456/09;2009-03-11;2009;1;2009-01-01;38
565;;2009-03-12;Azaliowa 21;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodz wolnostoj¹cy z gara¿;nowe;2009-02-09;wrz-41;463/09;2009-03-12;2009;2;2009-02-01;24
571;;2009-03-16;O³awska 12;bud.o trzech i wiêcej mieszkaniach;bud mieszkalno-us³ugowego z parkingiem podziem;nowe;2008-12-31;48134/08;wrz-50;2009-03-16;2008;12;2008-12-01;54
597;;2009-03-20;Amarantowa 11;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2009-01-15;1353/09;wrz-53;2009-03-20;2009;1;2009-01-01;47
598;;2009-03-20;Siedlecka 26;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2009-01-27;wrz-96;490/09;2009-03-20;2009;1;2009-01-01;39
608;;2009-03-23;Trzmielowicka;bud.o trzech i wiêcej mieszkaniach;bud budynku mieszkalnego   wielorodzinnego ;nowe;2009-02-06;wrz-16;495/09;2009-03-23;2009;2;2009-02-01;32
617;;2009-03-24;Perska 5;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodzinnego;nowe;2009-02-13;wrz-85;504/09;2009-03-24;2009;2;2009-02-01;28
645;;2009-03-27;Bieszczadzka;bud.mieszkalne jednorodzinne;4 budynki mieszkalne w zabudowie bli¿niaczej;nowe;2009-01-23;wrz-61;528/09;2009-03-27;2009;1;2009-01-01;46
648;;2009-03-27;Zagaje;bud.mieszkalne jednorodzinne;budowa domu mieszkal.;nowe;2009-03-02;wrz-69;531/09;2009-03-27;2009;3;2009-03-01;20
654;;2009-03-30;Jaskó³cza;bud.mieszkalne jednorodzinne;2 budynki mieszkalne jednorodzinne;nowe;2009-02-03;wrz-46;537/09;2009-03-30;2009;2;2009-02-01;40
667;;2009-03-30;Lekcyjna;bud.o dwóch mieszkaniach;zespó³ budynków mieszkalnych jednorodz z gara¿ami;nowe;2008-07-17;28032/08;550/09;2009-03-30;2008;7;2008-07-01;183
683;;2009-03-31;Osadnicza;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny wolno stoj¹cy;nowe;2009-02-20;wrz-75;565/09;2009-03-31;2009;2;2009-02-01;28
689;;2009-04-01;Mikory;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2009-02-10;wrz-65;569/09;2009-04-01;2009;2;2009-02-01;37
690;;2009-04-01;Przedwioœnie 84;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodz z gara¿em;nowe;2009-02-06;wrz-24;570/09;2009-04-01;2009;2;2009-02-01;39
701;;2009-04-02;Powstañców Œl¹skich 1-3;bud.o trzech i wiêcej mieszkaniach;budowa budynku mieszkal-uslugow.;nowe;2008-11-20;43603/08;579/09;2009-04-02;2008;11;2008-11-01;96
703;;2009-04-03;Ba³kañska;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.;nowe;2008-07-02;25805/08;wrz-62;2009-04-03;2008;7;2008-07-01;198
732;;2009-04-07;Zaj¹czkowska 35;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.z garazem;nowe;2009-02-12;wrz-83;601/09;2009-04-07;2009;2;2009-02-01;39
741;;2009-04-07;Rakowiecka;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodz wolno stoj¹cy;nowe;2009-03-19;wrz-16;610/09;2009-04-07;2009;3;2009-03-01;14
751;;2009-04-08;Jarzynowa 41;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz. wolno stoj.z gara¿em;nowe;2009-02-12;wrz-08;617/09;2009-04-08;2009;2;2009-02-01;40
771;;2009-04-10;Szpilkowa;bud.mieszkalne jednorodzinne;zespó³ budynków mieszkalnych jednorodzinnych;nowe;2009-02-27;wrz-72;635/09;2009-04-10;2009;2;2009-02-01;31
774;;2009-04-10;Szpilkowa;bud.mieszkalne jednorodzinne;budowa zespou budyn.mieszkal.jednorodz.z infrastruk.;nowe;2009-02-27;wrz-74;638/09;2009-04-10;2009;2;2009-02-01;31
775;;2009-04-10;Szpilkowa;bud.mieszkalne jednorodzinne;budowa zespo³u bud.        mieszkal.jednorodz.z infrastruk.;nowe;2009-02-27;wrz-73;639/09;2009-04-10;2009;2;2009-02-01;31
794;;2009-04-15;Su³owska;bud.mieszkalne jednorodzinne;budowa budynku jednorodz. wolnostoj.z wy³.przy³.;nowe;2009-02-12;wrz-86;654/09;2009-04-15;2009;2;2009-02-01;45
812;;2009-04-16;Rêdziñska;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2009-03-06;wrz-75;672/09;2009-04-16;2009;3;2009-03-01;30
845;;2009-04-21;Krzemieniecka 129;bud.o trzech i wiêcej mieszkaniach;budowa osiedla nelle w zabud wielorodzinnej;nowe;2008-04-23;16423/08;697/09;2009-04-21;2008;4;2008-04-01;260
849;;2009-04-21;£opianowa 18;bud.gara¿y;budynek gara¿owo-gospodarczy;nowe;2009-03-23;wrz-11;701/09;2009-04-21;2009;3;2009-03-01;22
876;;2009-04-23;Strachociñska 70;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.z poddaszem uzytkowym;nowe;2009-04-01;11303/09;724/09;2009-04-23;2009;4;2009-04-01;17
878;;2009-04-23;Stra¿acka 55;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.w zabudowie wolno stoj.z  garazem;nowe;2009-04-14;12772/09;726/09;2009-04-23;2009;4;2009-04-01;8
905;;2009-04-28;Marszowice;bud.o trzech i wiêcej mieszkaniach;bud budynku mieszkalnego jednorodz wolno stoj¹cego;nowe;2009-03-06;wrz-38;wrz-76;2009-04-28;2009;3;2009-03-01;38
947;;2009-05-04;Samotworska;bud.mieszkalne jednorodzinne;bud domu mieszkalnego w zabud zagrodowej z wy³¹czeniem zjazdu;nowe;2009-03-20;wrz-63;786/09;2009-05-04;2009;3;2009-03-01;32
965;;2009-05-06;Konwaliowa 11;bud.mieszkalne jednorodzinne;budynek mieszkal.jednorodz.;nowe;2009-03-10;wrz-05;798/09;2009-05-06;2009;3;2009-03-01;42
966;;2009-05-06;Polanowicka;bud.mieszkalne jednorodzinne;bud  budynku mieszkalnego jednorodzinnego;nowe;2009-03-23;wrz-57;799/09;2009-05-06;2009;3;2009-03-01;33
988;;2009-05-08;Gdacjusza Adama 46 A;bud.mieszkalne jednorodzinne;budowa bud.mieszk.jednorodz.z wbudowanym gara¿em;nowe;2009-03-30;10966/09;813/09;2009-05-08;2009;3;2009-03-01;30
1007;;2009-05-08;Zag³oby Onufrego 47B;bud.mieszkalne jednorodzinne;budowa zespo³u bud.jednorodzinnych w zabud.szeregowej;nowe;2009-04-08;12317/09;832/09;2009-05-08;2009;4;2009-04-01;23
1012;;2009-05-11;Ch³opska 2 B;bud.mieszkalne jednorodzinne;bud mieszk jednorodzinny wolnostoj¹cy;nowe;2009-03-17;wrz-97;836/09;2009-05-11;2009;3;2009-03-01;40
1026;;2009-05-12;Grawerska 99-119;bud.mieszkalne jednorodzinne;budowa zespo³u bud.mieszkal.jednorodz.;nowe;2009-03-10;wrz-81;849/09;2009-05-12;2009;3;2009-03-01;46
1028;;2009-05-13;Staffa Leopolda 17-23;bud.o trzech i wiêcej mieszkaniach;bud budynku mieszk wielorodz;nowe;2008-06-11;22701/08;132/09;2009-05-13;2008;6;2008-06-01;241
1039;;2009-05-13;Szczygla 26;bud.mieszkalne jednorodzinne;budynek mieszkal.jednorodz.;nowe;2009-03-10;wrz-98;861/09;2009-05-13;2009;3;2009-03-01;47
1043;;2009-05-13;Vivaldiego Antonio;bud.o trzech i wiêcej mieszkaniach;dwóch bud mieszkalnych wielorodzinnych/p1 p2/z gara¿ami podziemnymi;nowe;2009-04-10;12733/09;865/09;2009-05-13;2009;4;2009-04-01;24
1050;;2009-05-14;Œwit;bud.o dwóch mieszkaniach;budowa dwóch budynków mieszkal.jednorodz.;nowe;2009-03-23;10013/09;868/09;2009-05-14;2009;3;2009-03-01;39
1056;;2009-05-14;Paw³owice;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny;nowe;2009-03-27;10820/09;874/09;2009-05-14;2009;3;2009-03-01;35
1065;;2009-05-15;Czapliñskiego W³adys³awa 31;bud.mieszkalne jednorodzinne;budowa domu jednorodz.;nowe;2009-03-23;wrz-13;878/09;2009-05-15;2009;3;2009-03-01;40
1066;;2009-05-15;Jednoœci Narodowej 198;bud.o trzech i wiêcej mieszkaniach;budowa zaspo³u bud.mieszk.wielorodz.z us³ug.i gara¿.podziem;nowe;2009-03-13;wrz-12;879/09;2009-05-15;2009;3;2009-03-01;46
1076;;2009-05-18;Amarantowa 11;bud.mieszkalne jednorodzinne;budynek jednorodzinny w zabudowie blizniaczej;nowe;2009-04-01;11372/09;886/09;2009-05-18;2009;4;2009-04-01;34
1077;;2009-05-18;Lekcyjna;bud.mieszkalne jednorodzinne;bud mieszkalny jednorodzinny;nowe;2009-03-25;10404/09;887/09;2009-05-18;2009;3;2009-03-01;39
1078;;2009-05-18;G³ogowska;bud.gara¿y;nadbudowa gara¿u;nowe;2009-04-24;14266/09;888/09;2009-05-18;2009;4;2009-04-01;17
1083;;2009-05-19;Grota-Roweckiego Stefana Gen. 112;bud.mieszkalne jednorodzinne;dwóch bud mieszk jednorodz wolnostoj¹cych;nowe;2009-04-10;12666/09;wrz-95;2009-05-19;2009;4;2009-04-01;28
1089;;2009-05-19;Paw³owice;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.wolno stoj.;nowe;2009-03-27;10819/09;894/09;2009-05-19;2009;3;2009-03-01;38
1100;;2009-05-20;Sarnia;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny wolno stoj¹cy;nowe;2009-04-21;13744/09;900/09;2009-05-20;2009;4;2009-04-01;22
1112;;2009-05-21;Jaskó³cza 19;bud.mieszkalne jednorodzinne;budowa budynku mieszkal.jednorodz.;nowe;2009-03-18;wrz-79;911/09;2009-05-21;2009;3;2009-03-01;47
1113;;2009-05-22;Pasieczna 3;bud.mieszkalne jednorodzinne;budowy domu jednorodzinnego wolnostoj¹cego;nowe;2009-04-07;12110/09;100/09;2009-05-22;2009;4;2009-04-01;34
1123;;2009-05-25;Osiniecka 6;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2009-04-21;13817/09;917/09;2009-05-25;2009;4;2009-04-01;25
1135;;2009-05-26;Popielskiego Leona 19 A;bud.mieszkalne jednorodzinne;budynek jednorodz w zabud szeregowej;nowe;2009-03-26;10471/09;927/09;2009-05-26;2009;3;2009-03-01;44
1138;;2009-05-26;Dziarska 31;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2009-05-15;16994/09;930/09;2009-05-26;2009;5;2009-05-01;8
1140;;2009-05-26;Wiwulskiego Antoniego 17;bud.o trzech i wiêcej mieszkaniach;budowa bud mieszkalnego wielorodzinnego z us³ugami;nowe;2009-02-23;wrz-73;932/09;2009-05-26;2009;2;2009-02-01;67
1141;;2009-05-27;Solskiego Ludwika;bud.o trzech i wiêcej mieszkaniach;budynek mieszkalno-us³ugowy;nowe;2009-03-24;10174/09;933/09;2009-05-27;2009;3;2009-03-01;47
1145;;2009-05-28;Ruciana 28;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodz wolnostoj¹cy;nowe;2009-05-07;15942/09;937/09;2009-05-28;2009;5;2009-05-01;16
1169;;2009-06-01;Wallenroda Konrada 35 B;bud.mieszkalne jednorodzinne;budynek mieszkalny jednorodzinny wolno stoj¹cy;nowe;2009-03-27;10779/09;958/09;2009-06-01;2009;3;2009-03-01;47
1203;;2009-06-04;Kowieñska 51;bud.mieszkalne jednorodzinne;budynek jednorodzinny;nowe;2009-04-02;11518/09;111/09;2009-06-04;2009;4;2009-04-01;46
1207;;2009-06-04;Orawska 12;bud.mieszkalne jednorodzinne;budowa bud.mieszkal.;nowe;2009-05-19;17365/09;987/09;2009-06-04;2009;5;2009-05-01;13
1209;;2009-06-04;Zabrodzka 4;bud.o trzech i wiêcej mieszkaniach;budowa bud.mieszkal.                                 wielorodzinnego z gara¿em ;nowe;2009-04-17;13461/09;989/09;2009-06-04;2009;4;2009-04-01;35
1215;;2009-06-05;Swojczycka 103;bud.mieszkalne jednorodzinne;bud budynku mieszkalnego jednorodz oraz bud warsztatowego;nowe;2009-04-15;13018/09;113/09;2009-06-05;2009;4;2009-04-01;38
1220;;2009-06-05;Okulickiego Leopolda Gen. 14;bud.o trzech i wiêcej mieszkaniach;budowa bud.mieszkal.us³ugowego;nowe;2009-04-03;11621/09;998/09;2009-06-05;2009;4;2009-04-01;46
1225;;2009-06-05;Bêdziñska;bud.mieszkalne jednorodzinne;dom jednorodzinny;nowe;2009-04-30;15229/09;1003/09;2009-06-05;2009;4;2009-04-01;27
1238;;2009-06-09;Przedœwit 9;bud.o trzech i wiêcej mieszkaniach;bud budynku nr 1 w zespole dwóch wielorodz bud mieszkalnych z cz us³ugow¹ i biurow¹;nowe;2009-04-20;13515/09;116/09;2009-06-09;2009;4;2009-04-01;37
1241;;2009-06-09;Ma³opolska 25;bud.mieszkalne jednorodzinne;budynek mieszkal.jednorodz.w zabud.wolnostoj.;nowe;2009-04-22;14004/09;1015/09;2009-06-09;2009;4;2009-04-01;35
1245;;2009-06-09;Zagony 64;bud.mieszkalne jednorodzinne;bud budynku mieszkalnego jednorodzinnego;nowe;2009-05-21;17694/09;1019/09;2009-06-09;2009;5;2009-05-01;14
1247;;2009-06-09;Lipska;bud.mieszkalne jednorodzinne;czterech bud mieszkalnych jednorodz w zabud szeregowej z gara¿ami;nowe;2009-04-09;12546/09;1021/09;2009-06-09;2009;4;2009-04-01;44
1251;;2009-06-09;Jednoœci Narodowej 198;bud.o trzech i wiêcej mieszkaniach;budowa zespo³ów.bud.                    mieszk.wielorodz.z uslug.;nowe;2008-11-14;42988/08;1025/09;2009-06-09;2008;11;2008-11-01;148
1252;;2009-06-10;Paw³owicka 88;bud.mieszkalne jednorodzinne;budynek mieszkal.jednorodz.;nowe;2009-04-07;12169/09;118/09;2009-06-10;2009;4;2009-04-01;47
1269;;2009-06-12;Irlandzka;bud.mieszkalne jednorodzinne;budowa zespolu bud.jednorodz.z wy³.przy³.;nowe;2009-05-08;16085/09;1040/09;2009-06-12;2009;5;2009-05-01;26
